2017-05-05T20:06:17.678+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:17.678+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:17.678+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:17.678+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:17.678+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:17.678+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:17.679+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:17.679+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:22.679+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:22.680+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:22.680+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:22.680+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:22.680+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:22.680+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:22.680+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:22.681+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:22.681+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:23.002+0200 I REPL     [ReplicationExecutor] Starting an election, since we've seen no PRIMARY in the past 10000ms
2017-05-05T20:06:23.002+0200 I REPL     [ReplicationExecutor] conducting a dry run election to see if we could be elected
2017-05-05T20:06:23.002+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:23.003+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:23.003+0200 I REPL     [ReplicationExecutor] VoteRequester: Got failed response from localhost:27003: HostUnreachable: Connection refused
2017-05-05T20:06:23.003+0200 I REPL     [ReplicationExecutor] dry election run succeeded, running for election
2017-05-05T20:06:23.062+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:23.063+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:23.063+0200 I REPL     [ReplicationExecutor] VoteRequester: Got failed response from localhost:27003: HostUnreachable: Connection refused
2017-05-05T20:06:23.079+0200 I REPL     [ReplicationExecutor] election succeeded, assuming primary role in term 2
2017-05-05T20:06:23.079+0200 I REPL     [ReplicationExecutor] transition to PRIMARY
2017-05-05T20:06:23.079+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:23.080+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:23.080+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:23.080+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:23.080+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:23.080+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:23.081+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:23.081+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:23.081+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:23.678+0200 I REPL     [rsSync] transition to primary complete; database writes are now permitted
2017-05-05T20:06:25.082+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:25.082+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:25.082+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:25.082+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:25.083+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:25.083+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:25.083+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:25.083+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:25.083+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:27.083+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:27.084+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:27.084+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:27.084+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
